Row.names	Pop1	Pop2	Genetic-Group	Pop3	Group.x	Genotype_ID	Group.y	Sampling_year	Group_2	Specie	Race
ZmNa201405	0.687776	0.079039	LL-LR	0.233184	LR>2000	ZmNa201405	LR>2000	2014	ZmNa2014	Zea mays ssp. mays	Zamorano
MsNa200401	0.612932	0.160992	LL-LR	0.226076	LR>2000	MsNa200401	LR>2000	2004	MsNa2004	Zea mays ssp. mays	Mushito
MsNa200402	0.58111	0.200724	LL-LR	0.218166	LR>2000	MsNa200402	LR>2000	2004	MsNa2004	Zea mays ssp. mays	Mushito
MsNa201405	0.692004	0.096467	LL-LR	0.211529	LR>2000	MsNa201405	LR>2000	2014	MsNa2014	Zea mays ssp. mays	Mushito
MsNa197903	0.512816	0.318583	LL-LR	0.168601	LR 1960-1980	MsNa197903	LR 1960-1980	1979	MsNa1979	Zea mays ssp. mays	Mushito
ZmNa201401	0.650448	0.182368	LL-LR	0.167184	LR>2000	ZmNa201401	LR>2000	2014	ZmNa2014	Zea mays ssp. mays	Zamorano
ZmNa200405	0.654407	0.179674	LL-LR	0.165919	LR>2000	ZmNa200405	LR>2000	2004	ZmNa2004	Zea mays ssp. mays	Zamorano
MsNa197904	0.689815	0.148449	LL-LR	0.161736	LR 1960-1980	MsNa197904	LR 1960-1980	1979	MsNa1979	Zea mays ssp. mays	Mushito
ZmNa201503	0.704718	0.136727	LL-LR	0.158555	LR>2000	ZmNa201503	LR>2000	2015	ZmNa2015	Zea mays ssp. mays	Zamorano
ZmNa201402	0.775217	0.069722	LL-LR	0.155061	LR>2000	ZmNa201402	LR>2000	2014	ZmNa2014	Zea mays ssp. mays	Zamorano
ZmNa200402	0.456443	0.399318	ML-LR	0.14424	LR>2000	ZmNa200402	LR>2000	2004	ZmNa2004	Zea mays ssp. mays	Zamorano
ZmNa201504	0.648191	0.213701	LL-LR	0.138109	LR>2000	ZmNa201504	LR>2000	2015	ZmNa2015	Zea mays ssp. mays	Zamorano
MsNa197902	0.546428	0.331742	LL-LR	0.121831	LR 1960-1980	MsNa197902	LR 1960-1980	1979	MsNa1979	Zea mays ssp. mays	Mushito
MsNa201404	0.729516	0.150571	LL-LR	0.119913	LR>2000	MsNa201404	LR>2000	2014	MsNa2014	Zea mays ssp. mays	Mushito
ZmNa201501	0.841638	0.039577	LL-LR	0.118786	LR>2000	ZmNa201501	LR>2000	2015	ZmNa2015	Zea mays ssp. mays	Zamorano
ChNa197201	1,00E-05	0.899696	HL-LR	0.100294	LR 1960-1980	ChNa197201	LR 1960-1980	1972	ChNa1972	Zea mays ssp. mays	Chalqueño
MsNa197901	0.740323	0.162167	LL-LR	0.097509	LR 1960-1980	MsNa197901	LR 1960-1980	1979	MsNa1979	Zea mays ssp. mays	Mushito
MsNa195201	0.698002	0.217373	LL-LR	0.084625	LR<1960	MsNa195201	LR<1960	1952	MsNa1952	Zea mays ssp. mays	Mushito
MsNa195202	0.743029	0.174847	LL-LR	0.082124	LR<1960	MsNa195202	LR<1960	1952	MsNa1952	Zea mays ssp. mays	Mushito
ZmNa201505	0.873829	0.055179	LL-LR	0.070991	LR>2000	ZmNa201505	LR>2000	2015	ZmNa2015	Zea mays ssp. mays	Zamorano
ZmNa201502	0.831603	0.101995	LL-LR	0.066401	LR>2000	ZmNa201502	LR>2000	2015	ZmNa2015	Zea mays ssp. mays	Zamorano
BoNa194302	0.942037	1,00E-05	LL-LR	0.057953	LR<1960	BoNa194302	LR<1960	1943	BoNa1943	Zea mays ssp. mays	Bolita
ZmNa200404	0.836229	0.11115	LL-LR	0.052621	LR>2000	ZmNa200404	LR>2000	2004	ZmNa2004	Zea mays ssp. mays	Zamorano
MsNa195203	0.863622	0.084692	LL-LR	0.051686	LR<1960	MsNa195203	LR<1960	1952	MsNa1952	Zea mays ssp. mays	Mushito
ZmNa197902	0.742212	0.225312	LL-LR	0.032476	LR 1960-1980	ZmNa197902	LR 1960-1980	1979	ZmNa1979	Zea mays ssp. mays	Zamorano
ZmNa201403	0.974005	1,00E-05	LL-LR	0.025985	LR>2000	ZmNa201403	LR>2000	2014	ZmNa2014	Zea mays ssp. mays	Zamorano
ZmNa197903	0.869435	0.109592	LL-LR	0.020974	LR 1960-1980	ZmNa197903	LR 1960-1980	1979	ZmNa1979	Zea mays ssp. mays	Zamorano
ZmNa200401	0.846165	0.137073	LL-LR	0.016762	LR>2000	ZmNa200401	LR>2000	2004	ZmNa2004	Zea mays ssp. mays	Zamorano
MsNa200406	0.836813	0.151996	LL-LR	0.011191	LR>2000	MsNa200406	LR>2000	2004	MsNa2004	Zea mays ssp. mays	Mushito
ChNa200301	1,00E-05	0.998308	HL-LR	0.001682	LR>2000	ChNa200301	LR>2000	2003	ChNa2003	Zea mays ssp. mays	Chalqueño
BoNa194306	0.999979	1.1e-05	LL-LR	1,00E-05	LR<1960	BoNa194306	LR<1960	1943	BoNa1943	Zea mays ssp. mays	Bolita
ChNa195801	1,00E-05	0.99998	HL-LR	1,00E-05	LR<1960	ChNa195801	LR<1960	1958	ChNa1958	Zea mays ssp. mays	Chalqueño
ChNa195802	1,00E-05	0.99998	HL-LR	1,00E-05	LR<1960	ChNa195802	LR<1960	1958	ChNa1958	Zea mays ssp. mays	Chalqueño
ChNa195803	1,00E-05	0.99998	HL-LR	1,00E-05	LR<1960	ChNa195803	LR<1960	1958	ChNa1958	Zea mays ssp. mays	Chalqueño
ChNa195805	1,00E-05	0.99998	HL-LR	1,00E-05	LR<1960	ChNa195805	LR<1960	1958	ChNa1958	Zea mays ssp. mays	Chalqueño
